UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10008071,AA School of Architecture,0,0,0,,0,0,,0
10007783,The University of Aberdeen,385,"12,742","13,127",,"7,683","3,493",,"24,303"
10007849,Abertay University,51,"2,537","2,588",,"1,567",156,,"4,311"
10007856,Aberystwyth University,0,"3,213","3,213",,"14,745",137,,"18,095"
10000163,AECC University College,0,772,772,,142,228,,"1,142"
10032036,Amity Global Education,0,0,0,,0,0,,0
10000291,Anglia Ruskin University,54,"9,972","10,026",,"10,903",999,,"21,928"
10007759,Aston University,"1,121","8,054","9,175",,"7,931",723,,"17,829"
10007857,Bangor University,461,"6,119","6,580",,"4,811",158,,"11,549"
10000571,Bath Spa University,726,"5,466","6,192",,"4,032",292,,"10,516"
10007850,The University of Bath,"1,350","15,638","16,988",,"11,944",855,,"29,787"
10007152,University of Bedfordshire,529,"10,733","11,262",,"2,613",692,,"14,567"
10005343,Queen's University Belfast,288,"15,306","15,594",,"12,462",875,,"28,931"
10007760,Birkbeck College,3,"5,081","5,084",,"4,075",0,,"9,159"
10007140,Birmingham City University,"1,045","18,399","19,444",,"12,985",0,,"32,429"
10006840,The University of Birmingham,"2,205","40,792","42,997",,"26,888","7,401",,"77,286"
10000712,University College Birmingham,0,"1,837","1,837",,"1,629",495,,"3,961"
10000894,Bristol Baptist College,215,6,221,,152,0,,373
10007811,Bishop Grosseteste University,82,"2,117","2,199",,397,280,,"2,876"
10006841,The University of Bolton,"2,673","4,527","7,200",,"2,796",731,,"10,727"
10000385,The Arts University Bournemouth,0,"1,936","1,936",,"2,013",892,,"4,841"
10000824,Bournemouth University,622,"12,319","12,941",,"9,761","2,124",,"24,826"
10007785,The University of Bradford,131,"5,691","5,822",,"5,909",268,,"11,999"
10000886,The University of Brighton,159,"15,454","15,613",,"13,284",580,,"29,477"
10000936,The University College of Osteopathy,0,477,477,,109,16,,602
10007786,The University of Bristol,563,"21,631","22,194",,"18,686","2,066",,"42,946"
10000961,Brunel University London,357,"5,233","5,590",,"5,371","1,153",,"12,114"
10000975,Buckinghamshire New University,24,839,863,,"1,024",97,,"1,984"
10007788,The University of Cambridge,"1,633","33,133","34,766",,"16,791",965,,"52,522"
10003324,The Institute of Cancer Research,"1,117","3,406","4,523",,"1,717",890,,"7,130"
10001143,Canterbury Christ Church University,517,"6,518","7,035",,"6,049","2,390",,"15,474"
10007814,Cardiff University,"1,730","24,490","26,220",,"15,606","8,827",,"50,653"
10007854,Cardiff Metropolitan University,918,"8,578","9,496",,"5,683",927,,"16,106"
10007141,The University of Central Lancashire,876,"22,857","23,733",,"12,136","1,435",,"37,304"
10007848,University of Chester,702,"9,262","9,964",,"10,914","1,185",,"22,063"
10007137,The University of Chichester,0,"1,898","1,898",,"2,018",868,,"4,784"
10001386,Chicken Shed Theatre Company,0,0,0,,0,0,,0
10026921,Christ the Redeemer College,46,56,102,,0,0,,102
10001478,"City, University of London",136,"13,879","14,015",,"10,842","5,534",,"30,391"
10001653,Conservatoire for Dance and Drama,0,0,0,,0,0,,0
10007761,Courtauld Institute of Art,0,832,832,,560,0,,"1,392"
10001726,Coventry University,"2,145","24,105","26,250",,"33,110","2,309",,"61,669"
10007822,Cranfield University,0,"4,934","4,934",,"5,812",0,,"10,746"
10006427,University for the Creative Arts,97,"8,114","8,211",,"3,989","1,023",,"13,223"
10007842,University of Cumbria,82,"2,666","2,748",,"4,294",891,,"7,933"
10001883,De Montfort University,"1,053","12,602","13,655",,"12,993","5,866",,"32,514"
10007851,University of Derby,451,"11,180","11,631",,"10,595",314,,"22,540"
10007852,The University of Dundee,"2,948","13,635","16,583",,"8,151","1,390",,"26,124"
10007143,University of Durham,"2,456","19,161","21,617",,"23,817","3,984",,"49,418"
10007789,The University of East Anglia,"1,283","14,765","16,048",,"11,693","2,468",,"30,209"
10007144,The University of East London,80,"6,996","7,076",,"2,060",724,,"9,860"
10007823,Edge Hill University,0,"10,643","10,643",,"7,093","1,205",,"18,941"
10007772,Edinburgh Napier University,"1,173","13,852","15,025",,"6,736",994,,"22,755"
10007790,The University of Edinburgh,0,"28,922","28,922",,"14,881","5,393",,"49,196"
10022047,Empire College London Limited,0,0,0,,0,0,,0
10007791,The University of Essex,84,"18,127","18,211",,"12,675",0,,"30,886"
10008173,University College of Estate Management,0,0,0,,579,0,,579
10007792,The University of Exeter,62,"25,076","25,138",,"6,595","3,180",,"34,913"
10008640,Falmouth University,0,"1,810","1,810",,"4,797",127,,"6,734"
10004511,The National Film and Television School,0,"1,207","1,207",,"1,080",128,,"2,415"
10042500,Global Banking School Limited,601,401,"1,002",,"1,833",0,,"2,835"
10007762,Glasgow Caledonian University,"1,713","13,304","15,017",,"8,160",597,,"23,774"
10002681,Glasgow School of Art,0,"2,003","2,003",,382,0,,"2,385"
10007794,The University of Glasgow,"3,333","34,019","37,352",,"19,164",905,,"57,421"
10007145,University of Gloucestershire,718,"6,053","6,771",,"3,430",289,,"10,490"
10007833,Glyndŵr University,129,"2,288","2,417",,"1,700",152,,"4,269"
10002718,Goldsmiths College,"1,253","11,357","12,610",,"6,951","1,615",,"21,176"
10007146,The University of Greenwich,719,"9,770","10,489",,"9,328",841,,"20,658"
10007825,Guildhall School of Music and Drama,0,586,586,,167,0,,753
10040812,Harper Adams University,312,"1,955","2,267",,"1,639",550,,"4,456"
10080811,Hartpury University,691,769,"1,460",,638,0,,"2,098"
10007764,Heriot-Watt University,824,"7,151","7,975",,"11,292",972,,"20,239"
10007147,University of Hertfordshire,"1,882","16,993","18,875",,"8,505","3,354",,"30,734"
10007148,The University of Huddersfield,870,"13,169","14,039",,"10,906",715,,"25,660"
10007149,The University of Hull,162,"11,383","11,545",,"9,482","3,454",,"24,481"
10003270,"Imperial College of Science, Technology and Medicine",304,"32,285","32,589",,"26,299",343,,"59,231"
10035638,Institute of Contemporary Music Performance,0,237,237,,0,0,,237
10007767,Keele University,436,"9,413","9,849",,"4,696",225,,"14,770"
10007150,The University of Kent,0,"10,752","10,752",,"9,106","1,772",,"21,630"
10003645,King's College London,"1,328","25,162","26,490",,"24,000","7,597",,"58,087"
10003678,Kingston University,"1,449","9,093","10,542",,"10,279","8,119",,"28,940"
10003758,LAMDA Limited,0,0,0,,0,0,,0
10007768,The University of Lancaster,"1,906","17,569","19,475",,"12,059","2,468",,"34,002"
10003854,Leeds Arts University,0,"1,429","1,429",,341,20,,"1,790"
10003861,Leeds Beckett University,"3,948","14,374","18,322",,"6,511","3,922",,"28,755"
10034449,Leeds College of Music,0,"1,453","1,453",,"1,072",0,,"2,525"
10007795,The University of Leeds,"4,763","56,549","61,312",,"24,734","1,980",,"88,026"
10003863,Leeds Trinity University,210,"2,294","2,504",,"1,175",842,,"4,521"
10007796,The University of Leicester,"1,654","15,991","17,645",,"12,833","2,020",,"32,498"
10007151,The University of Lincoln,"1,544","9,237","10,781",,"8,367","1,164",,"20,312"
10003956,Liverpool Hope University,0,"1,805","1,805",,"1,708",338,,"3,851"
10003957,Liverpool John Moores University,"1,065","15,179","16,244",,"11,448","1,410",,"29,102"
10003945,The Liverpool Institute for Performing Arts,0,98,98,,30,0,,128
10006842,The University of Liverpool,"2,148","29,981","32,129",,"33,978","1,461",,"67,568"
10003958,Liverpool School of Tropical Medicine,0,0,0,,"1,785",0,,"1,785"
10007162,"University of the Arts, London",0,"37,166","37,166",,"21,351",0,,"58,517"
10007769,London Business School,0,447,447,,"1,357",0,,"1,804"
10007797,University of London (Institutes and activities),"1,606","20,987","22,593",,"44,804",296,,"67,693"
10023434,London School of Commerce & IT Limited,29,65,94,,0,5,,99
10004048,London Metropolitan University,520,"15,184","15,704",,"6,673","1,022",,"23,399"
10032594,London School of Academics Ltd,0,0,0,,0,0,,0
10004078,London South Bank University,107,"15,334","15,441",,"7,122","2,198",,"24,761"
10004063,London School of Economics and Political Science,0,"9,944","9,944",,"12,310",0,,"22,254"
10007771,London School of Hygiene and Tropical Medicine,"1,585","7,285","8,870",,"4,773",0,,"13,643"
10062810,The London School of Architecture,57,274,331,,0,0,,331
10008289,The London Institute of Banking & Finance,0,75,75,,3,0,,78
10004035,The Film Education Training Trust Limited,0,0,0,,0,0,,0
10004113,Loughborough University,440,"16,982","17,422",,"10,985","2,380",,"30,787"
10004180,The Manchester Metropolitan University,"2,334","29,089","31,423",,"26,317","2,801",,"60,541"
10007798,The University of Manchester,"2,579","40,598","43,177",,"49,636","2,994",,"95,807"
10009527,Istituto Marangoni Limited,"1,343",510,"1,853",,0,0,,"1,853"
10020416,Mattersey Hall,0,0,0,,0,0,,0
10030776,St Mellitus College,0,0,0,,0,0,,0
10004351,Middlesex University,"3,296","17,215","20,511",,"14,889",947,,"36,347"
10023454,Moorlands College,58,43,101,,58,78,,237
10004538,Nazarene Theological College,32,0,32,,52,0,,84
10030129,Nelson College London Ltd,0,0,0,,0,0,,0
10007799,Newcastle University,617,"25,624","26,241",,"22,006",867,,"49,114"
10048199,New College of the Humanities,0,0,0,,0,0,,0
10007832,Newman University,246,"1,969","2,215",,"1,000",211,,"3,426"
10008397,Norland College,"1,252",0,"1,252",,0,0,,"1,252"
10007138,The University of Northampton,181,"14,616","14,797",,"3,046","2,500",,"20,343"
10004740,Northern College of Acupuncture,231,9,240,,296,0,,536
10001282,University of Northumbria at Newcastle,298,"17,680","17,978",,"17,810","2,076",,"37,864"
10004775,Norwich University of the Arts,218,"2,463","2,681",,"1,928",73,,"4,682"
10007154,University of Nottingham,450,"22,202","22,652",,"40,799","2,886",,"66,337"
10004797,The Nottingham Trent University,710,"19,053","19,763",,"16,771","4,933",,"41,467"
10010227,Oak Hill College,0,58,58,,42,0,,100
10007773,The Open University,0,"21,026","21,026",,"14,140",0,,"35,166"
10004930,Oxford Brookes University,0,"11,908","11,908",,"6,277","1,032",,"19,217"
10007774,The University of Oxford,"2,028","36,753","38,781",,"12,913","9,552",,"61,246"
10005127,Plymouth College of Art,0,425,425,,542,0,,967
10007801,University of Plymouth,"2,836","13,124","15,960",,"12,484","3,485",,"31,929"
10007155,The University of Portsmouth,"2,166","18,186","20,352",,"13,440","1,256",,"35,048"
10005337,"Queen Margaret University, Edinburgh",309,"1,683","1,992",,"1,463",758,,"4,213"
10007775,Queen Mary University of London,"1,266","9,840","11,106",,"13,248","6,642",,"30,996"
10009292,Royal Academy of Dramatic Art,0,313,313,,0,0,,313
10005544,Royal Academy of Dance,0,0,0,,0,0,,0
10005389,Ravensbourne University London,1,"1,286","1,287",,"1,699",78,,"3,064"
10007802,The University of Reading,786,"16,787","17,573",,"10,461","3,099",,"31,133"
10003331,Regent's University London,"10,959","2,503","13,462",,"2,269",0,,"15,731"
10008455,Regent College,"3,219",0,"3,219",,0,0,,"3,219"
10005500,Robert Gordon University,295,"5,921","6,216",,"4,209","1,250",,"11,675"
10007776,Roehampton University,0,"5,696","5,696",,"10,188","3,170",,"19,054"
10005523,Rose Bruford College of Theatre and Performance,0,116,116,,231,0,,347
10007835,Royal Academy of Music,0,734,734,,123,49,,906
10005545,Royal Agricultural University,31,"1,047","1,078",,"1,163",140,,"2,381"
10007777,Royal College of Art,0,"4,123","4,123",,"1,928",0,,"6,051"
10007778,Royal College of Music,0,"1,755","1,755",,"1,121",228,,"3,104"
10005561,Royal Conservatoire of Scotland,0,"1,029","1,029",,409,150,,"1,588"
10007816,The Royal Central School of Speech and Drama,0,"2,722","2,722",,"1,355",193,,"4,270"
10005553,Royal Holloway and Bedford New College,813,"11,811","12,624",,"7,137","1,069",,"20,830"
10007837,Royal Northern College of Music,0,622,622,,898,171,,"1,691"
10007779,The Royal Veterinary College,"6,492","12,766","19,258",,"7,196",708,,"27,162"
10007803,The University of St Andrews,499,"14,979","15,478",,"12,589",809,,"28,876"
10007839,SAE Education Limited,0,0,0,,0,0,,0
10007782,"St George's, University of London",0,"4,845","4,845",,"3,018",0,,"7,863"
10008026,St Mary's University College,0,585,585,,176,0,,761
10007843,"St Mary's University, Twickenham",310,"2,504","2,814",,"1,632","1,272",,"5,718"
10007156,The University of Salford,894,"10,817","11,711",,"13,594",790,,"26,095"
10021256,The Salvation Army,205,"2,011","2,216",,465,0,,"2,681"
10007780,SOAS University of London,0,"6,982","6,982",,"4,048","1,291",,"12,321"
10005700,SRUC,0,348,348,,271,0,,619
10005790,Sheffield Hallam University,"3,366","31,935","35,301",,"24,612","2,690",,"62,603"
10007157,The University of Sheffield,"7,565","18,426","25,991",,"19,797","5,913",,"51,701"
10006022,Solent University,331,"8,097","8,428",,"3,665",835,,"12,928"
10007158,The University of Southampton,561,"19,851","20,412",,"19,990","4,527",,"44,929"
10006299,Staffordshire University,194,"7,356","7,550",,"4,935","1,913",,"14,398"
10007804,The University of Stirling,10,"6,101","6,111",,"4,293",772,,"11,176"
10037449,University of St Mark and St John,0,937,937,,831,0,,"1,768"
10008010,Stranmillis University College,118,223,341,,241,0,,582
10007805,The University of Strathclyde,"1,307","17,248","18,555",,"12,648",908,,"32,111"
10014001,University of Suffolk,887,"3,929","4,816",,"1,917",295,,"7,028"
10007159,The University of Sunderland,771,"12,940","13,711",,"10,305",922,,"24,938"
10007160,The University of Surrey,266,"12,832","13,098",,"14,799","3,376",,"31,273"
10007806,The University of Sussex,248,"13,609","13,857",,"12,777","1,610",,"28,244"
10007855,Swansea University,"1,901","12,762","14,663",,"12,330",663,,"27,656"
10007161,Teesside University,396,"17,088","17,484",,"9,579","1,210",,"28,273"
10008017,Trinity Laban Conservatoire of Music and Dance,0,473,473,,537,58,,"1,068"
10007858,University of Wales Trinity Saint David,333,"6,339","6,672",,"3,439",562,,"10,673"
10068157,University Centre Peterborough,0,250,250,,0,0,,250
10007114,University of the Highlands and Islands,203,"2,251","2,454",,"1,921",284,,"4,659"
10007807,Ulster University,942,"17,783","18,725",,"13,240","2,295",,"34,260"
10007784,University College London,"1,851","45,487","47,338",,"37,368","7,753",,"92,459"
10007793,University of South Wales,339,"16,313","16,652",,"13,576",902,,"31,130"
10008574,The University of Wales (central functions),0,0,0,,0,0,,0
10007163,The University of Warwick,"1,169","18,280","19,449",,"15,465","3,525",,"38,439"
10007164,"University of the West of England, Bristol","1,453","13,849","15,302",,"11,785","1,028",,"28,115"
10007800,The University of the West of Scotland,72,"6,256","6,328",,"6,148","13,481",,"25,957"
10006566,The University of West London,571,"9,256","9,827",,"3,971","1,162",,"14,960"
10007165,The University of Westminster,"13,209",0,"13,209",,"7,574",0,,"20,783"
10003614,The University of Winchester,642,"3,341","3,983",,"5,064",312,,"9,359"
10007166,The University of Wolverhampton,"1,302","14,070","15,372",,"11,083",300,,"26,755"
10007139,University of Worcester,231,"2,250","2,481",,"5,071",460,,"8,012"
10007657,Writtle University College,0,421,421,,319,130,,870
10007713,York St John University,255,"5,032","5,287",,"3,513",728,,"9,528"
10007167,The University of York,862,"12,423","13,285",,"9,641",0,,"22,926"
,Total,"159,248","1,851,224","2,010,472",,"1,488,325","246,926",,"3,745,723"