Provider Name,Full-time employment,Part-time employment,Unknown pattern of employment,Voluntary or unpaid work,Employmentand further study,Full-time further study,Part-time further study,Unknown pattern of further study,"Other including travel, caring for someone or retired",Unemployed and due to start work,Unemployed and due to start further study,Unemployed,Total with known outcomes,Non-respondents,Total
AA School of Architecture,40,5,0,0,5,0,0,0,5,0,0,0,60,25,80
The University of Aberdeen,635,90,5,20,130,185,5,0,65,15,0,65,"1,210",795,"2,005"
Abingdon and Witney College,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
Abertay University,215,60,0,10,50,35,0,0,20,5,5,25,425,355,785
Aberystwyth University,465,110,5,20,130,175,15,0,70,15,5,60,"1,070",600,"1,670"
Accrington and Rossendale College,15,10,0,0,0,5,0,0,5,0,0,5,40,40,80
Academy of Live and Recorded Arts,10,5,0,0,5,0,0,0,0,0,0,0,25,25,50
Activate Learning,5,5,0,0,0,5,0,0,0,0,0,0,20,40,55
AECC University College,10,0,0,0,0,0,0,0,0,0,0,0,15,10,30
Anglia Ruskin University,"1,380",235,15,30,275,155,15,0,130,20,5,80,"2,345","1,835","4,180"
Apex College London,0,5,0,0,0,0,0,0,0,0,0,0,15,15,30
Arden University,15,5,0,0,0,0,0,0,5,0,0,0,30,15,45
Arts Educational Schools,20,10,0,0,5,0,0,0,0,0,0,0,40,35,75
Askham Bryan College,75,20,0,5,5,5,0,0,10,0,0,5,125,125,250
Aston University,735,80,5,10,150,100,5,0,70,15,0,50,"1,215",920,"2,135"
Aylesbury College,0,10,0,0,5,0,0,0,0,0,0,0,20,25,40
Ballet West,5,5,0,0,5,5,0,0,0,0,0,5,30,20,45
Bangor University,600,135,5,35,165,260,15,0,65,15,5,70,"1,370",945,"2,320"
Barking and Dagenham College,15,10,0,0,5,5,0,0,5,0,0,0,45,45,90
Barnfield College,5,5,0,0,0,0,0,0,0,0,0,0,15,25,40
Barnsley College,30,15,0,0,5,10,0,0,5,5,0,5,80,110,190
Barnet & Southgate College,20,10,0,0,5,0,0,0,5,0,0,0,40,65,105
Bath College,10,5,0,5,5,0,0,0,0,0,0,0,30,40,70
Bath Spa University,610,195,5,15,95,65,5,0,60,10,5,40,"1,110",860,"1,970"
The University of Bath,"1,290",70,5,15,160,240,5,0,85,20,5,65,"1,960","1,105","3,070"
Bedford College,55,55,0,10,10,10,0,0,15,0,0,10,160,175,335
University of Bedfordshire,600,150,10,20,115,75,0,0,65,5,5,60,"1,100","1,015","2,115"
Queen's University Belfast,"1,370",170,20,35,320,315,10,0,140,5,10,55,"2,445","1,450","3,895"
Belfast Metropolitan College,120,45,5,5,55,30,5,0,15,0,0,10,290,330,620
The Berkshire College of Agriculture (BCA),0,0,0,0,0,0,0,0,0,0,0,0,5,10,15
Bexhill College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BIMM Limited,315,215,5,10,45,20,0,0,35,10,5,25,675,930,"1,610"
Birkbeck College,130,20,0,5,40,20,5,0,20,0,0,15,265,245,510
Birmingham Metropolitan College,10,5,0,0,0,0,0,0,0,0,0,0,20,30,50
Birmingham City University,"1,615",375,15,50,255,175,10,5,155,25,15,145,"2,840","2,225","5,065"
The University of Birmingham,"1,810",190,10,40,325,425,10,0,195,40,15,110,"3,175","2,685","5,860"
University College Birmingham,320,130,5,15,60,60,5,0,55,5,5,45,710,690,"1,400"
Bishop Auckland College,5,0,0,0,0,0,0,0,0,0,0,0,15,15,25
Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
Bishop Burton College,40,15,0,5,10,5,0,0,5,0,0,5,85,120,205
Bishop Grosseteste University,300,40,0,5,35,25,0,0,20,5,0,5,440,185,625
Blackburn College,110,60,5,10,45,15,5,0,30,5,5,20,300,375,680
Blackpool and the Fylde College,155,55,0,5,35,20,0,0,25,5,0,20,325,620,945
Bloomsbury Institute,30,10,0,0,15,10,0,0,10,0,0,10,85,65,155
Bolton College,5,5,0,0,0,0,0,0,0,0,0,0,10,20,30
The University of Bolton,255,100,10,15,65,40,5,0,40,0,5,40,575,540,"1,115"
Boston College,20,5,0,0,15,5,0,0,5,0,0,5,55,45,100
The Arts University Bournemouth,430,165,5,10,35,20,0,0,25,10,0,40,740,325,"1,065"
The Bournemouth and Poole College,20,15,0,0,0,0,0,0,0,0,0,5,45,65,105
Bournemouth University,"1,225",175,15,15,135,60,5,0,80,20,5,70,"1,800","1,595","3,395"
BPP University,275,30,5,10,70,65,0,0,40,5,0,35,540,770,"1,310"
The University of Bradford,515,120,10,15,115,140,5,0,80,10,5,95,"1,105",925,"2,035"
Bradford College,90,25,0,5,15,10,0,0,20,5,5,15,190,300,490
The University of Brighton,"1,435",210,10,40,195,140,10,0,120,20,5,80,"2,265","1,575","3,840"
Greater Brighton Metropolitan College,55,40,0,5,5,10,0,0,5,0,0,5,125,230,355
The University College of Osteopathy,15,10,0,0,5,0,0,0,5,0,0,0,30,20,55
City of Bristol College,25,10,0,0,10,0,0,0,0,0,0,0,55,60,115
The University of Bristol,"1,505",175,15,45,245,375,10,5,200,30,10,100,"2,715","1,905","4,620"
Bridgwater and Taunton College,55,30,0,0,10,10,0,0,0,0,0,5,110,100,205
Brit College,25,25,0,5,5,10,5,0,15,0,0,10,95,100,195
Trinity College Bristol,20,0,0,0,5,0,0,0,5,0,0,0,30,10,40
Brockenhurst College,15,0,0,0,0,0,0,0,0,0,0,0,15,10,25
Brooklands College,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15
Bromley College of Further and Higher Education,15,5,0,0,5,5,0,0,5,0,0,0,35,35,70
BMC (Brooksby Melton College),10,5,0,0,5,0,0,0,0,0,0,0,25,40,65
Brunel University London,730,120,10,30,115,130,5,0,70,10,0,70,"1,290","1,315","2,600"
Buckinghamshire New University,560,110,10,15,65,20,0,0,45,10,0,25,860,765,"1,625"
The University of Buckingham,50,15,5,5,25,35,10,0,10,0,0,5,150,160,315
Burton and South Derbyshire College,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
Burnley College,15,15,0,0,5,5,0,0,10,0,0,5,50,85,135
Bury College,15,10,0,0,5,5,0,0,0,0,0,5,35,55,95
UK College of Business and Computing,25,15,0,0,5,5,0,0,15,0,0,0,60,30,90
Calderdale College,15,10,0,0,10,0,0,0,5,0,0,0,35,70,105
Cambridge Arts and Sciences Limited,5,5,0,0,10,15,0,0,10,0,0,5,50,60,110
Cambridge Regional College,5,10,0,5,5,5,0,0,5,0,0,0,35,25,60
The University of Cambridge,"1,135",105,10,30,165,355,5,0,140,15,5,60,"2,030","1,240","3,270"
The Cambridge Theological Federation,10,0,0,0,0,0,0,0,0,0,0,0,15,5,20
Canterbury Christ Church University,"1,200",175,10,30,165,100,5,0,90,15,5,70,"1,865","1,335","3,200"
Cardinal Newman College,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Cardiff University,"2,025",185,15,25,305,445,15,5,170,25,15,110,"3,340","1,955","5,300"
Cardiff Metropolitan University,595,95,10,20,130,105,10,0,60,5,5,40,"1,065","1,070","2,135"
Central Bedfordshire College,10,10,0,5,5,5,0,0,5,0,0,5,45,55,100
The University of Central Lancashire,"1,240",270,15,30,215,180,15,5,150,20,15,105,"2,245","2,400","4,640"
Kensington and Chelsea College,10,5,0,0,0,0,0,0,5,0,0,0,30,30,55
Chesterfield College,10,10,0,0,5,5,0,0,0,0,0,5,35,60,100
University of Chester,910,185,5,30,160,115,10,0,85,20,5,60,"1,595","1,235","2,830"
Chichester College Group,10,5,0,0,0,0,0,0,0,0,0,0,20,30,55
The University of Chichester,450,125,5,10,75,60,5,0,35,10,0,25,805,555,"1,360"
Chicken Shed Theatre Company,5,5,0,10,0,0,0,0,0,0,0,0,25,25,50
The College of Integrated Chinese Medicine,10,10,0,0,5,0,0,0,0,0,0,0,20,15,35
Cheshire College South and West,50,20,5,0,15,5,0,0,5,0,0,0,100,105,205
The City College,5,0,0,0,5,5,0,0,5,0,0,5,25,5,30
"City, University of London",785,105,5,30,155,145,5,0,90,20,10,100,"1,460","1,175","2,635"
Colchester Institute,60,40,0,0,25,20,0,0,15,0,0,10,175,205,385
Cliff College,5,5,0,0,0,0,0,0,0,0,0,0,5,0,5
The City of Liverpool College,35,20,0,5,20,5,0,0,10,0,0,5,100,175,275
The Academy of Contemporary Music,75,60,0,5,10,5,0,0,5,0,0,5,170,120,290
Conservatoire for Dance and Drama,125,75,5,0,20,10,5,0,20,0,0,10,265,200,465
Courtauld Institute of Art,10,5,0,0,5,0,0,0,5,0,0,5,30,30,60
Court Theatre Training Company Ltd,5,0,0,0,0,0,0,0,0,0,0,0,10,10,20
Coventry College,5,0,0,0,5,0,0,0,0,0,0,0,10,15,25
Coventry University,"1,570",215,15,50,255,290,15,5,145,35,15,200,"2,810","3,880","6,690"
Craven College,25,10,0,0,5,5,0,0,0,0,0,0,45,40,90
University for the Creative Arts,370,175,5,20,55,25,5,0,45,10,5,50,760,535,"1,290"
Cornwall College,85,50,0,10,20,10,0,0,15,0,0,15,210,240,450
Croydon College,15,10,0,5,0,5,0,0,5,0,0,5,45,60,110
University of Cumbria,545,115,5,10,55,30,5,0,30,5,5,30,835,665,"1,495"
De Montfort University,915,185,15,20,185,160,10,5,95,25,5,120,"1,735","3,755","5,490"
Derby College,35,5,0,0,10,0,0,0,5,0,0,0,55,60,110
University of Derby,"1,000",200,10,30,150,125,10,5,75,15,5,75,"1,695","1,340","3,035"
DN Colleges Group,95,35,0,5,20,10,0,0,15,0,0,15,200,320,520
Dudley College of Technology,15,10,0,0,5,0,0,0,0,0,0,5,40,55,95
The University of Dundee,760,115,10,20,140,160,0,5,60,5,5,40,"1,325",750,"2,070"
University of Durham,"1,110",95,5,25,250,400,10,0,150,25,5,65,"2,145","1,795","3,940"
The University of East Anglia,"1,235",180,15,40,215,255,10,5,130,30,10,120,"2,240","1,575","3,815"
The University of East London,585,205,10,30,130,85,5,0,100,5,10,100,"1,260","1,165","2,420"
The Queen's Foundation for Ecumenical Theological Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edge Hill University,930,180,15,25,125,95,0,0,55,10,5,50,"1,500","1,675","3,175"
Edinburgh Napier University,860,115,10,10,125,80,5,5,70,10,5,60,"1,350","1,160","2,510"
The University of Edinburgh,"1,355",155,15,45,235,300,10,5,135,30,15,95,"2,395","2,250","4,645"
East Kent College,15,5,0,0,0,0,0,0,0,0,0,5,30,50,80
Eastleigh College,5,0,0,0,0,0,0,0,0,0,0,5,10,5,15
Empire College London Limited,10,5,0,0,10,5,0,0,10,0,0,0,50,15,65
East Riding College,10,5,0,0,0,0,0,0,0,0,0,0,20,30,50
The University of Essex,700,150,10,30,175,210,10,0,85,20,10,65,"1,460","1,460","2,925"
University College of Estate Management,30,0,0,0,10,0,0,0,0,0,0,0,45,50,95
East Surrey College,10,5,0,0,5,0,0,0,0,0,0,0,30,15,45
East Sussex College Group,15,20,0,0,5,0,0,0,5,0,0,5,45,120,165
Exeter College,45,20,0,0,10,5,0,0,10,0,0,5,95,130,225
The University of Exeter,"1,775",200,10,80,345,505,15,5,265,35,15,160,"3,405","2,275","5,680"
Falmouth University,460,210,5,25,60,30,5,0,45,5,0,45,885,575,"1,465"
Fairfield School of Business Ltd,10,5,0,0,5,5,0,0,5,0,0,5,35,45,80
Fareham College,5,0,0,0,5,0,0,0,0,0,0,0,10,15,20
Farnborough College of Technology,35,10,0,0,10,10,0,0,10,0,0,0,75,60,135
Met Film School Limited,10,5,0,0,0,0,0,0,0,0,0,0,25,40,65
ForMission Ltd,10,5,0,0,0,0,0,0,5,0,0,0,25,15,40
Furness College,10,5,0,0,5,0,0,0,0,0,0,0,25,20,45
Futureworks,35,20,0,0,5,0,0,0,5,0,0,0,70,65,135
Gateshead College,20,10,0,0,5,0,0,0,5,0,0,0,40,70,110
Glasgow Caledonian University,"1,100",160,5,20,175,75,0,0,60,15,10,55,"1,675","1,620","3,295"
Glasgow School of Art,80,70,0,5,20,20,0,0,20,0,0,10,230,175,405
The University of Glasgow,"1,245",165,10,30,240,330,5,0,115,20,10,90,"2,255","1,530","3,785"
Gloucestershire College,20,5,0,0,0,0,0,0,5,0,0,0,35,70,100
University of Gloucestershire,720,170,5,20,90,65,5,0,50,10,5,45,"1,185",920,"2,105"
Glyndŵr University,240,80,0,10,55,35,5,0,35,5,0,20,490,370,860
Goldsmiths College,355,115,5,20,75,35,5,0,35,10,5,50,705,830,"1,535"
Grantham College,10,5,0,0,5,0,0,0,0,0,0,5,25,20,45
Grimsby Institute of Further and Higher Education,55,35,0,5,30,15,0,0,10,5,0,10,165,240,400
The University of Greenwich,"1,190",260,15,30,205,175,15,5,130,20,10,100,"2,150","2,025","4,170"
GSM London,140,85,10,10,75,40,5,0,45,5,5,65,485,725,"1,210"
Guildford College of Further and Higher Education,25,15,0,5,0,0,0,0,0,0,0,0,45,50,95
Guildhall School of Music and Drama,45,25,0,0,10,15,0,0,5,0,0,0,105,60,165
Hadlow College,5,5,0,0,0,0,0,0,0,0,0,0,10,5,15
Halesowen College,5,5,0,0,0,0,0,0,0,0,0,0,5,10,20
"Ealing, Hammersmith & West London College",5,0,0,0,0,0,0,0,0,0,0,0,10,5,15
Harlow College,5,0,0,0,0,0,0,0,0,0,0,0,10,5,15
Harper Adams University,350,30,5,5,25,15,0,0,20,0,0,5,455,155,605
Hartpury College,145,30,0,10,30,20,0,0,5,0,0,10,245,175,420
Havant and South Downs College,10,10,0,0,5,0,0,0,0,0,0,0,30,30,60
Havering College of Further and Higher Education,20,5,0,0,10,0,0,0,5,0,0,5,40,50,90
HCUC,15,15,0,0,10,5,0,0,10,0,0,10,70,60,130
Herefordshire and Ludlow College,5,0,0,0,0,0,0,0,0,0,0,0,5,5,10
Hereford College of Arts,30,20,0,0,10,0,0,0,5,0,0,5,70,25,90
Heriot-Watt University,560,60,5,10,75,90,5,0,40,5,5,40,890,750,"1,640"
Hertford Regional College,0,5,0,0,5,5,0,0,0,0,0,0,20,20,40
University of Hertfordshire,"1,550",270,20,30,245,155,10,0,145,35,10,145,"2,615","2,010","4,625"
Holy Cross College,40,10,0,0,5,5,0,0,5,0,0,0,70,50,115
Hopwood Hall College,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
Heart of Worcestershire College,15,10,0,0,0,0,0,0,5,0,0,0,35,35,70
Highbury College Portsmouth,10,0,0,0,0,0,0,0,0,0,0,0,15,20,35
The University of Huddersfield,"1,195",260,20,35,165,165,10,5,100,25,10,100,"2,085","2,100","4,185"
Hugh Baird College,30,20,0,5,5,10,0,0,5,0,0,5,80,135,215
Hull College,35,20,0,5,10,5,0,0,5,0,0,10,95,115,210
The University of Hull,995,180,5,25,200,245,10,0,85,20,5,85,"1,855","1,490","3,345"
ICON College of Technology and Management,60,20,5,0,30,15,0,0,5,0,0,5,145,120,265
"Imperial College of Science, Technology and Medicine",800,30,10,5,105,295,5,0,70,5,5,30,"1,365",875,"2,240"
Institute of Contemporary Music Performance,45,45,5,0,20,10,0,0,15,0,0,5,150,190,340
The Islamic College,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
Keele University,625,95,5,15,145,155,5,0,50,20,5,55,"1,175",915,"2,090"
Kensington College of Business,15,5,0,0,0,0,0,0,5,0,0,0,30,45,75
Kendal College,10,0,0,0,0,0,0,0,0,0,0,0,15,20,35
The University of Kent,"1,225",215,15,45,240,305,10,0,150,25,10,145,"2,390","2,000","4,390"
Kingston Maurward College,5,5,0,0,0,0,0,0,0,0,0,0,15,5,20
King's College London,"1,235",180,5,40,290,400,15,5,175,30,10,110,"2,495","1,875","4,370"
Kirklees College,10,15,0,0,5,5,0,0,0,0,0,5,45,65,110
KLC School of Design,5,5,0,0,0,0,0,0,5,0,0,0,20,30,50
Kingston University,"1,110",230,10,35,180,170,5,0,125,25,5,125,"2,020","2,270","4,290"
Lakes College West Cumbria,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15
The University of Lancaster,860,90,5,20,175,250,5,5,60,25,10,90,"1,605","1,120","2,725"
LCCM AU UK Limited,15,15,0,0,5,0,0,0,0,0,0,0,40,50,85
Leeds Arts University,140,70,0,5,20,10,0,0,10,0,0,15,270,210,480
Leeds Beckett University,"1,475",235,25,30,235,150,5,5,125,20,5,80,"2,390","2,310","4,700"
Leeds City College,100,80,0,0,25,15,0,0,15,5,5,15,260,465,725
Leeds College of Building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
The University of Leeds,"1,925",195,15,40,310,340,15,5,190,30,5,125,"3,190","2,520","5,710"
Leeds Trinity University,315,60,5,10,60,40,5,0,20,0,0,20,535,440,975
Leicester College,20,15,0,0,10,10,0,0,15,0,0,5,70,125,195
The University of Leicester,920,110,0,30,200,285,10,0,100,15,10,80,"1,765","1,270","3,035"
Wigan and Leigh College,5,10,0,0,0,0,0,0,0,0,0,5,25,80,105
Lincoln College,10,10,0,0,5,0,0,0,5,0,0,0,30,40,70
The University of Lincoln,"1,085",225,10,35,225,235,10,0,90,15,10,65,"2,005","1,445","3,450"
Liverpool Hope University,375,70,0,10,60,65,5,0,25,5,5,30,650,510,"1,160"
Liverpool John Moores University,"1,470",260,15,35,230,185,10,0,125,30,10,100,"2,470","2,550","5,020"
The Liverpool Institute for Performing Arts,100,45,0,0,5,5,0,0,0,0,0,5,165,65,230
